epoch,uptime,mem_avail_kb,swap_free_kb,refault_anon,refault_file,pswpin,pswpout,pgmajfault,psi_some_avg10,psi_some_total_us,psi_full_avg10,psi_full_total_us,zr_orig_bytes,zr_compr_bytes,zr_used_bytes,zr_limit,zr_max_used,zr_same_pages,zr_compacted,zr_huge_pages,zr_huge_since
1781156973,42876.10,6816000,15248088,341020,2117393,334571,999392,352800,0.00,7284154,0.00,5800906,1470959616,416605624,428896256,0,544702464,5661,94848,10257,28501
1781157003,42906.17,6418776,15238528,341517,2130516,335059,1002057,353388,0.08,7369093,0.00,5873780,1480073216,419709352,431210496,0,544702464,5676,94848,10316,28564
1781157033,42936.24,6648992,14255728,363984,3109937,357255,1275225,378223,5.93,8575495,4.97,6842905,2459934720,744830946,763916288,0,764170240,7150,97569,18253,37686
1781157063,42966.30,6298492,14324436,383479,3158445,376565,1288064,393665,0.37,8711655,0.33,6964478,2389164032,720467822,741580800,0,764170240,7119,103825,17917,37985
1781157094,42996.36,6088636,14328908,386247,3173132,379263,1289830,396518,0.01,8789125,0.01,7029320,2384248832,718416276,736673792,0,764170240,7172,105088,17902,38008
1781157124,43026.41,6036476,14313740,389329,3179022,382320,1296657,399500,0.01,8807401,0.00,7043874,2398306304,721635916,740933632,0,764170240,7232,105088,17835,38119
1781157154,43056.47,6516324,14209612,437234,3324929,429789,1387525,445734,0.98,9146851,0.75,7278589,2497540096,750953633,775839744,0,777539584,7039,119182,18963,40465
1781157184,43086.54,6597196,14218260,464206,3369568,456510,1426753,471818,0.27,9355482,0.26,7481746,2497720320,749061548,792129536,0,797528064,7148,120157,19394,41676
1781157214,43116.60,6493928,14235696,471826,3382824,463328,1430480,479074,0.02,9415922,0.02,7535273,2483113984,746257331,768577536,0,797528064,6916,126606,19507,41902
1781157244,43146.67,6497760,14225084,474000,3389649,465458,1435265,481243,0.00,9457123,0.00,7568746,2493382656,748969347,769523712,0,797528064,7158,126606,19537,42043
1781157274,43176.73,6292344,14229688,481455,3396392,472846,1441554,488746,0.00,9500952,0.00,7610283,2487783424,746052700,772091904,0,797528064,7166,126606,19615,42163
1781157304,43206.79,6487272,14224020,492508,3428371,483749,1452688,497818,0.00,9541195,0.00,7648189,2491949056,741628638,772919296,0,797528064,7157,128486,19662,42661
1781157334,43236.86,6220452,14156408,495451,3494625,486631,1472056,501068,0.02,9618938,0.02,7711702,2558271488,761073400,780353536,0,797528064,7263,131641,20104,43247
1781157364,43266.90,6342648,14197308,504205,3503258,495301,1472398,509527,0.00,9633022,0.00,7723350,2517016576,746385069,777326592,0,797528064,7249,131641,19738,43258
1781157394,43296.96,6316640,14190604,505640,3510378,496720,1475545,510791,0.00,9648655,0.00,7737924,2524000256,748551171,778022912,0,797528064,7268,131641,19915,43477
1781157424,43327.02,6408608,14148444,507192,3513520,498214,1489216,512347,0.09,9724115,0.09,7810838,2565763072,763577226,783216640,0,797528064,7315,134252,20532,44150
1781157454,43357.07,6192156,14184712,513566,3576939,504569,1490534,519143,0.00,9752576,0.00,7830642,2529271808,752578352,772481024,0,797528064,7187,136447,20646,44364
1781157484,43387.12,6238496,14148236,514901,3578847,505832,1500317,520246,0.00,9777049,0.00,7852405,2563915776,763232445,782336000,0,797528064,7420,136447,21349,45072
1781157514,43417.17,6041460,14145176,515493,3582899,506414,1501635,520885,0.00,9786386,0.00,7860838,2566963200,764246158,783568896,0,797528064,7410,136447,21384,45119
1781157544,43447.23,6140372,14093020,521802,3645613,512616,1530020,527581,0.05,9895788,0.05,7951849,2620461056,793875699,813727744,0,818057216,7296,137438,24788,48691
1781157574,43477.30,6109056,14061464,522625,3683730,513391,1538423,528836,0.00,9918260,0.00,7972987,2651521024,803481434,823246848,0,823246848,7329,137438,25331,49264
1781157605,43507.36,6455412,14065560,524966,3687113,515690,1539674,531209,0.00,9938567,0.00,7992142,2647691264,801110249,823803904,0,824127488,7329,137438,25311,49275
1781157635,43537.43,6532904,14073580,526527,3691321,517191,1540380,532797,0.10,10018953,0.10,8065991,2639712256,799331984,823652352,0,824127488,7329,137438,25284,49276
1781157665,43567.49,6419196,14171696,536827,3698887,527340,1540491,541357,0.00,10032608,0.00,8075256,2539438080,742766870,781844480,0,824127488,7272,137438,25053,49304
1781157695,43597.54,6464752,14181232,538699,3699241,529182,1540547,543054,0.00,10033824,0.00,8076304,2529931264,739406457,781336576,0,824127488,7282,137438,25025,49304
1781157725,43627.65,6470940,14200768,542576,3704198,533013,1540547,546360,0.00,10036822,0.00,8078744,2510761984,732487449,780906496,0,824127488,7282,137438,24991,49304
1781157755,43657.77,6541972,14204664,543102,3704817,533521,1540570,546901,0.00,10050415,0.00,8090527,2507087872,731217029,749473792,0,824127488,7282,145081,24967,49304
1781157785,43687.87,6454328,14205148,543575,3730801,533998,1540820,547677,0.00,10082530,0.00,8119862,2506543104,731009720,749690880,0,824127488,7282,145081,24968,49311
1781157815,43717.93,6477588,14194676,543739,3732944,534151,1543644,547865,0.00,10120414,0.00,8153087,2517016576,735171292,753360896,0,824127488,7292,145081,25153,49515
1781157845,43748.01,6479540,14194484,543870,3735216,534279,1543702,548035,0.00,10124384,0.00,8155417,2517254144,735256441,753405952,0,824127488,7292,145081,25156,49518
1781157875,43778.08,6401892,14197300,544417,3738767,534814,1543755,548586,0.00,10141768,0.00,8170002,2514399232,734048072,753192960,0,824127488,7281,145081,25119,49518
